,Position,Arousal,Score
163,"[33.42926, 1.429584, 332.9774]",1,0
164,"[31.17682, 1.411314, 340.651]",0,0
165,"[28.3722, 1.40193, 348.2939]",0,0
166,"[25.15542, 1.386812, 356.1813]",0,0
167,"[21.08541, 1.386466, 364.322]",0,0
168,"[16.1647, 1.388946, 372.6799]",0,0
169,"[11.06706, 1.387319, 381.3599]",0,0
170,"[5.955935, 1.443358, 390.4601]",0,0
171,"[1.203583, 1.387461, 398.5045]",0,0
172,"[-3.248516, 1.380286, 405.5729]",0,0
173,"[-4.640431, 1.714725, 410.3445]",0,0
174,"[-4.466869, 1.48041, 413.3678]",0,0
175,"[-4.256268, 1.388086, 415.5528]",0,0
176,"[-4.383417, 1.361803, 417.718]",0,0
177,"[-5.107492, 1.375317, 420.0841]",0,0
178,"[-6.08961, 1.369572, 422.841]",0,0
179,"[-6.409939, 1.422147, 425.22]",1,0
180,"[-6.285029, 1.363898, 426.5206]",1,0
181,"[-7.266229, 1.367381, 427.78]",1,0
182,"[-8.938016, 1.345914, 429.1588]",1,0
183,"[-9.452585, 1.369815, 430.3813]",1,0
184,"[-10.95145, 1.365406, 431.2172]",1,0
185,"[-13.42847, 1.367867, 432.147]",1,0
186,"[-16.50417, 1.364914, 433.4403]",1,0
187,"[-20.13402, 1.368025, 434.8011]",1,0.8633333333333333
188,"[-24.39783, 1.3681, 435.7757]",1,0
189,"[-29.11581, 1.367893, 436.1251]",1,0
190,"[-34.00641, 1.367878, 435.5799]",1,0
191,"[-38.71199, 1.367895, 433.985]",1,0
192,"[-42.86676, 1.367898, 431.3481]",1,0
193,"[-46.19075, 1.367831, 427.8132]",1,0
194,"[-48.89627, 1.367863, 423.5855]",0,0
195,"[-51.53088, 1.36786, 418.9147]",0,0
196,"[-54.21062, 1.36788, 413.917]",0,0
197,"[-56.51705, 1.367626, 408.7792]",0,0
198,"[-58.29967, 1.437312, 403.2203]",0,0
199,"[-59.169, 1.406354, 397.2669]",0,0
200,"[-59.54794, 1.386091, 390.7465]",0,0
201,"[-59.72971, 1.385242, 383.092]",0,0
202,"[-59.90186, 1.387708, 374.2701]",0,0
203,"[-60.08665, 1.38783, 364.4777]",0,0
204,"[-60.2845, 1.383987, 353.5616]",0,0
205,"[-60.51764, 1.385032, 339.98]",0,0
206,"[-60.77693, 1.467139, 323.5458]",0,0
207,"[-60.78056, 11.27169, 309.5774]",0,0
208,"[-59.26001, 29.90534, 311.4284]",0,0
209,"[-55.94922, 36.23582, 329.6405]",0,0
210,"[-52.32793, 20.55254, 343.102]",0,0
211,"[-49.94028, 1.863838, 330.0578]",0,0
212,"[-48.08637, 2.774285, 302.6726]",0,0
213,"[-46.25504, 4.014245, 275.6783]",0,0.8066666666666666
214,"[-44.72702, 3.991394, 253.321]",0,0
