115,"[9.553766250610352, 4.161255836486816, -17.695722579956055]",1,1.0
116,"[11.292023658752441, 5.1424055099487305, -10.771851539611816]",1,1.0
117,"[15.54963493347168, 7.331995964050293, 2.2109766006469727]",1,4.0
118,"[17.950767517089844, 8.367194175720215, 8.596816062927246]",1,4.0
119,"[20.29399299621582, 9.212629318237305, 14.604500770568848]",1,4.0
120,"[22.981788635253906, 10.01577091217041, 21.323083877563477]",1,4.0
121,"[25.908910751342773, 10.723233222961426, 28.584339141845703]",1,4.0
122,"[29.050323486328125, 11.281442642211914, 36.098690032958984]",1,4.0
123,"[32.208133697509766, 11.677705764770508, 43.706966400146484]",1,4.0
124,"[33.19591522216797, 11.865826606750488, 50.2608528137207]",1,4.0
125,"[33.089534759521484, 11.890366554260254, 55.9395637512207]",1,4.0
126,"[32.779048919677734, 11.913955688476562, 62.1166877746582]",1,4.0
127,"[32.736785888671875, 11.911449432373047, 69.13748931884766]",1,4.0
128,"[32.667388916015625, 11.914925575256348, 76.87602233886719]",1,4.0
129,"[32.77229690551758, 11.912490844726562, 85.11009216308594]",1,4.0
130,"[33.15984344482422, 11.910654067993164, 94.24344635009766]",1,4.0
131,"[33.19649124145508, 11.908147811889648, 104.18902587890625]",1,4.0
132,"[32.83686828613281, 11.913413047790527, 114.61949920654297]",1,4.0
133,"[32.62405014038086, 11.913208961486816, 125.37313842773438]",1,4.0
134,"[32.857330322265625, 11.914586067199707, 136.70533752441406]",1,4.0
135,"[32.9132194519043, 11.915074348449707, 160.3897705078125]",1,1.0
136,"[32.302188873291016, 11.904213905334473, 172.3892059326172]",1,1.0
137,"[29.639842987060547, 11.358214378356934, 194.2830352783203]",1,1.0
138,"[26.834226608276367, 10.645914077758789, 204.00473022460938]",1,1.0
139,"[23.875408172607422, 9.786860466003418, 212.4364471435547]",1,1.0
140,"[20.6934871673584, 8.800341606140137, 220.0490264892578]",1,1.0
141,"[17.414810180664062, 7.691308498382568, 227.18663024902344]",1,1.0
142,"[14.203409194946289, 6.474267959594727, 234.22073364257812]",1,1.0
143,"[10.61209487915039, 5.164813041687012, 242.19564819335938]",1,1.0
144,"[8.397565841674805, 4.213566780090332, 249.3765411376953]",1,1.0
145,"[7.849300384521484, 3.459613084793091, 255.52256774902344]",1,1.0
146,"[7.778204441070557, 2.782043218612671, 262.1890869140625]",1,1.0
147,"[8.010059356689453, 2.285371780395508, 268.5296630859375]",1,4.0
148,"[8.211099624633789, 1.8978040218353271, 274.5748596191406]",1,4.0
149,"[8.445999145507812, 1.6536308526992798, 280.1681213378906]",1,4.0
150,"[8.46471118927002, 1.5248491764068604, 284.6358337402344]",1,4.0
151,"[8.279813766479492, 1.4558830261230469, 288.24969482421875]",1,4.0
152,"[7.881643295288086, 1.4269088506698608, 292.2176208496094]",1,4.0
153,"[7.6093058586120605, 1.412615418434143, 296.42864990234375]",1,7.0
154,"[7.472943305969238, 1.407310128211975, 300.8883361816406]",1,7.0
155,"[7.373343467712402, 1.3993349075317383, 311.40460205078125]",1,7.0
156,"[7.792181491851807, 1.4081943035125732, 318.5791320800781]",1,7.0
157,"[8.511034965515137, 1.3986680507659912, 325.7132568359375]",1,7.0
158,"[9.193408966064453, 1.3884878158569336, 331.5132751464844]",1,7.0
159,"[10.106339454650879, 1.3879213333129883, 337.4865417480469]",1,7.0
160,"[11.420482635498047, 1.3876361846923828, 344.8880310058594]",1,3.0
161,"[13.035320281982422, 1.387620210647583, 353.46246337890625]",1,3.0
162,"[16.07248306274414, 1.388070821762085, 368.4917907714844]",1,5.0
163,"[17.49736785888672, 1.3876398801803589, 375.2509765625]",1,5.0
164,"[18.8729248046875, 1.3881173133850098, 382.0653991699219]",1,5.0
165,"[19.684099197387695, 1.3876404762268066, 388.88958740234375]",0,5.0
166,"[19.860488891601562, 1.388107419013977, 395.6885070800781]",0,5.0
167,"[19.31837272644043, 1.3876268863677979, 402.3589172363281]",0,5.0
168,"[18.003917694091797, 1.3876559734344482, 410.240966796875]",0,5.0
169,"[16.59977149963379, 1.3881018161773682, 417.9505615234375]",0,5.0
170,"[15.453075408935547, 1.3880788087844849, 424.25323486328125]",0,5.0
171,"[14.144482612609863, 1.3875476121902466, 430.51715087890625]",0,7.0
172,"[11.927591323852539, 1.3875621557235718, 437.76434326171875]",0,7.0
173,"[6.5928053855896, 1.3884947299957275, 451.8250732421875]",0,7.0
174,"[2.922677755355835, 1.387239694595337, 459.496337890625]",0,8.0
175,"[-0.9409331679344177, 1.3879570960998535, 466.4642333984375]",0,1.0
176,"[-8.962635040283203, 1.3492094278335571, 476.7779846191406]",0,1.0
177,"[-18.03801727294922, 1.3696303367614746, 482.9247131347656]",0,6.0
178,"[-22.613666534423828, 1.3678996562957764, 485.0668029785156]",0,6.0
179,"[-26.211416244506836, 1.5407980680465698, 485.91583251953125]",0,6.0
180,"[-29.266170501708984, 1.430708646774292, 486.1343688964844]",1,6.0
181,"[-31.54239273071289, 1.4976450204849243, 485.9884338378906]",1,6.0
182,"[-33.3173828125, 1.3906484842300415, 485.7641296386719]",1,6.0
183,"[-34.540889739990234, 1.3618673086166382, 485.3434753417969]",1,6.0
184,"[-35.46206283569336, 1.3675438165664673, 484.99566650390625]",1,6.0
185,"[-36.21265411376953, 1.3685499429702759, 484.80950927734375]",1,6.0
186,"[-36.8255615234375, 1.3681732416152954, 484.7080383300781]",1,6.0
187,"[-37.9636116027832, 1.3678473234176636, 484.6489562988281]",1,6.0
188,"[-39.743770599365234, 1.4130263328552246, 484.4065856933594]",1,6.0
189,"[-41.37373352050781, 1.3559560775756836, 484.1700744628906]",1,6.0
190,"[-43.224510192871094, 1.3727052211761475, 483.8487548828125]",1,8.0
191,"[-45.68677520751953, 1.3693736791610718, 482.9209899902344]",1,8.0
192,"[-51.96019744873047, 1.367976427078247, 480.0799255371094]",1,6.0
193,"[-54.965389251708984, 1.3678873777389526, 478.40411376953125]",1,6.0
194,"[-57.86353302001953, 1.3681167364120483, 476.541748046875]",1,6.0
195,"[-60.17005920410156, 1.3680965900421143, 474.9459228515625]",1,6.0
196,"[-62.01338195800781, 1.3681004047393799, 473.5925598144531]",1,6.0
197,"[-63.97261047363281, 1.3678815364837646, 472.03607177734375]",1,6.0
198,"[-66.45476531982422, 1.3678858280181885, 469.8200378417969]",1,6.0
199,"[-68.85076141357422, 1.3681015968322754, 467.4621276855469]",1,6.0
