,Position,Arousal,Score
115,"[113.37545776367188, 1.3713687658309937, -204.32952880859375]",0,2.0
116,"[114.03926849365234, 1.368630051612854, -203.5700225830078]",0,2.0
117,"[115.17036437988281, 1.3676578998565674, -202.6906280517578]",0,2.0
118,"[116.6593246459961, 1.3680280447006226, -201.63543701171875]",0,2.0
119,"[118.22932434082031, 1.3678879737854004, -200.2352752685547]",0,2.0
120,"[119.7697982788086, 1.3681142330169678, -198.4855499267578]",0,2.0
121,"[121.183349609375, 1.3678721189498901, -196.4210205078125]",0,2.0
122,"[122.81554412841797, 1.3678784370422363, -193.53082275390625]",0,2.0
123,"[124.73582458496094, 1.3678736686706543, -190.01809692382812]",0,2.0
124,"[126.85177612304688, 1.3678793907165527, -185.97743225097656]",0,2.0
125,"[128.77565002441406, 1.3678815364837646, -181.40032958984375]",0,2.0
126,"[130.16429138183594, 1.3678807020187378, -176.3621063232422]",0,2.0
127,"[130.5591278076172, 1.3678557872772217, -165.55126953125]",0,2.0
128,"[129.8455810546875, 1.3681033849716187, -160.59100341796875]",0,2.0
129,"[128.73585510253906, 1.3678513765335083, -156.08424377441406]",0,2.0
130,"[127.14794921875, 1.367888331413269, -151.29798889160156]",0,2.0
131,"[125.35906219482422, 1.367877721786499, -146.1922149658203]",0,2.0
132,"[123.70860290527344, 1.4032398462295532, -141.39785766601562]",0,2.0
133,"[122.43305969238281, 1.400761365890503, -137.4616241455078]",0,2.0
134,"[121.37141418457031, 1.3967103958129883, -133.5979766845703]",0,3.0
135,"[118.83470916748047, 1.3663184642791748, -124.49951934814453]",1,3.0
136,"[117.2220687866211, 1.368367314338684, -120.21932220458984]",1,3.0
137,"[115.65058898925781, 1.3682224750518799, -117.01469421386719]",1,3.0
138,"[113.59459686279297, 1.3678648471832275, -114.48696899414062]",1,3.0
139,"[111.1933364868164, 1.368097186088562, -112.44577026367188]",1,3.0
140,"[108.59305572509766, 1.3678723573684692, -110.64325714111328]",1,3.0
141,"[105.86953735351562, 1.368106484413147, -108.89830017089844]",1,3.0
142,"[103.63768768310547, 1.3680979013442993, -107.4806137084961]",1,3.0
143,"[99.7799072265625, 1.3793518543243408, -104.7863540649414]",1,3.0
144,"[97.5585708618164, 1.3631333112716675, -103.2208480834961]",1,3.0
145,"[95.15926361083984, 1.366931676864624, -101.70199584960938]",1,3.0
146,"[92.5933609008789, 1.368403673171997, -100.20230865478516]",1,3.0
147,"[89.95120239257812, 1.367954969406128, -98.64613342285156]",1,3.0
148,"[87.21810150146484, 1.3680951595306396, -97.0599136352539]",1,3.0
149,"[84.37590026855469, 1.367863655090332, -95.56411743164062]",1,3.0
150,"[80.89064025878906, 1.3678828477859497, -93.784912109375]",1,3.0
151,"[76.95560455322266, 1.3678739070892334, -91.63085174560547]",1,3.0
152,"[72.61202239990234, 1.3678773641586304, -89.24346160888672]",1,3.0
153,"[67.86151123046875, 1.3678725957870483, -86.81596374511719]",1,3.0
154,"[62.76245880126953, 1.3678723573684692, -84.39274597167969]",1,3.0
155,"[57.34425354003906, 1.3678778409957886, -82.08272552490234]",1,3.0
156,"[52.38522720336914, 1.3705347776412964, -80.69083404541016]",1,3.0
157,"[48.35784149169922, 1.3683276176452637, -79.48149108886719]",1,3.0
158,"[44.557559967041016, 1.3677186965942383, -78.08790588378906]",1,3.0
159,"[37.272422790527344, 1.4090790748596191, -74.78885650634766]",1,3.0
160,"[33.575035095214844, 1.4339709281921387, -72.70425415039062]",1,3.0
161,"[30.120044708251953, 1.3913503885269165, -69.99771881103516]",1,3.0
162,"[26.972745895385742, 1.3844259977340698, -66.76606750488281]",1,3.0
163,"[24.223020553588867, 1.3877205848693848, -62.886661529541016]",1,3.0
164,"[21.505640029907227, 1.4034758806228638, -57.49051284790039]",1,4.0
