,Position,Arousal,Score
221,"[-43.40744, 1.357731, -253.3337]",1,0
222,"[-42.70789, 1.379565, -256.5509]",1,0
223,"[-41.23656, 1.367813, -259.7802]",1,0
224,"[-38.78722, 1.366737, -262.7743]",1,0
225,"[-35.44199, 1.36783, -265.1658]",1,0
226,"[-31.43947, 1.36798, -266.6444]",1,0
227,"[-27.09893, 1.367905, -267.0069]",1,0
228,"[-22.74601, 1.367829, -266.194]",1,0.9566666666666667
229,"[-18.35955, 1.367865, -264.489]",1,0
230,"[-13.67119, 1.36788, -262.4518]",1,0
231,"[-8.569184, 1.367873, -260.5644]",1,0
232,"[-3.101024, 1.367866, -258.9465]",1,0
233,"[2.611501, 1.408717, -257.3938]",1,0
234,"[8.26967, 1.385003, -255.6408]",1,0
235,"[13.90246, 1.393929, -253.1736]",1,0
236,"[20.04125, 1.388726, -249.6198]",1,0
237,"[26.92941, 1.387092, -244.9256]",1,0
238,"[34.4127, 1.421632, -239.371]",1,0
239,"[41.49515, 1.379825, -233.9703]",1,0
240,"[47.76487, 1.387084, -229.1095]",1,0
241,"[53.58585, 1.364591, -224.5154]",1,0
242,"[59.29404, 1.366267, -219.9464]",1,0
243,"[64.94234, 1.368035, -215.3739]",1,0
244,"[70.43715, 1.421383, -210.9198]",1,0
245,"[75.72894, 1.37129, -206.5033]",1,0
246,"[81.31664, 1.395962, -201.7204]",1,0
247,"[87.59867, 1.38721, -196.2495]",1,0
248,"[94.31683, 1.388967, -190.0885]",1,0
249,"[100.7308, 1.388386, -183.3046]",1,0
250,"[106.1595, 1.387873, -175.846]",1,0
251,"[109.9669, 1.387704, -167.7336]",1,0
252,"[111.6512, 1.387683, -159.2139]",1,0
253,"[110.9287, 1.387679, -150.7571]",1,0
254,"[107.8677, 1.387664, -142.9959]",1,0.975
255,"[102.752, 1.387579, -136.4592]",1,0
256,"[96.14996, 1.388605, -131.0008]",1,0
257,"[88.82727, 1.387772, -125.8734]",1,0
258,"[80.86192, 1.387763, -120.1406]",1,0
259,"[72.50638, 1.387634, -113.6483]",1,0
260,"[63.86087, 1.387631, -106.506]",1,0
261,"[54.97232, 1.387641, -98.839]",1,0
262,"[45.88928, 1.41675, -90.79676]",1,0
263,"[36.9375, 1.387878, -82.64008]",1,0
264,"[28.86428, 1.391282, -75.19924]",1,0
265,"[21.58093, 1.388442, -68.21615]",1,0.9433333333333334
266,"[14.77057, 1.392133, -60.78574]",1,0
267,"[9.070011, 1.479589, -52.96877]",1,0
268,"[8.191651, 1.857857, -48.36828]",1,0
269,"[9.342742, 2.153322, -47.99047]",1,0
270,"[10.08483, 1.814699, -47.76172]",1,0
271,"[10.31737, 1.751854, -46.90115]",1,0
272,"[10.44069, 1.747074, -45.36114]",1,0
273,"[10.51381, 1.880227, -42.83895]",1,0
274,"[10.59322, 2.107423, -39.02517]",1,0
275,"[10.62825, 2.483819, -33.72577]",1,0
276,"[10.63846, 3.074152, -27.17472]",1,0
277,"[10.62579, 3.932433, -19.60275]",1,0
278,"[10.5956, 5.009132, -11.61829]",1,0
279,"[10.54788, 6.361817, -3.325485]",1,0
280,"[10.48244, 7.845114, 5.3106]",1,0
281,"[10.39998, 9.164931, 14.22137]",1,0
282,"[10.30526, 10.20245, 23.09399]",1,0
283,"[10.20725, 10.98513, 31.70007]",1,0
284,"[10.12259, 11.48351, 40.21294]",1,0
285,"[10.05248, 11.80387, 48.70116]",1,0
286,"[9.993778, 11.88868, 57.01889]",1,0
287,"[9.940206, 11.88154, 65.35557]",1,0
288,"[9.884106, 11.88526, 74.33935]",1,0
289,"[9.81835, 11.88817, 84.23858]",1,0
290,"[9.73896, 11.88786, 94.91098]",1,0
291,"[9.642477, 11.88761, 106.2158]",1,0
292,"[9.526132, 11.88762, 118.0373]",1,0
293,"[9.387728, 11.88764, 130.2809]",1,0
294,"[9.225527, 11.88764, 142.8692]",1,0
295,"[9.038157, 11.88764, 155.739]",1,0
296,"[8.825501, 11.88931, 168.8382]",1,0
297,"[8.610088, 11.84123, 182.0859]",1,0
298,"[8.347095, 11.33781, 194.9807]",1,0
299,"[8.049352, 10.35585, 207.3937]",1,0
300,"[7.740725, 8.917834, 219.4208]",1,0
301,"[7.589352, 7.042945, 231.1784]",1,0
302,"[7.631071, 5.035125, 243.2379]",1,0
303,"[7.824908, 3.440814, 255.6531]",1,0
304,"[8.077784, 2.301624, 268.2901]",1,0
305,"[8.181993, 1.627038, 281.0608]",1,0
306,"[8.149271, 1.424752, 293.8789]",1,0
307,"[7.974975, 1.40998, 306.6391]",1,0.9883333333333333
308,"[7.679275, 1.408611, 319.584]",1,0
309,"[7.430714, 1.401593, 332.7451]",1,0
310,"[7.098854, 1.38263, 346.0686]",1,0
311,"[6.656572, 1.391457, 359.2]",1,0
312,"[6.060601, 1.400677, 372.2435]",1,0
313,"[5.41394, 1.39212, 384.9232]",1,0
314,"[4.797823, 1.392906, 396.4452]",1,0
315,"[3.930209, 1.367403, 406.6613]",1,0
316,"[2.702847, 1.368176, 416.1474]",1,0
317,"[1.082599, 1.367953, 425.029]",1,0
318,"[-1.126534, 1.367828, 433.2125]",1,0
319,"[-3.97932, 1.397014, 440.3258]",1,0
320,"[-7.389604, 1.391551, 446.1585]",1,0
321,"[-11.75252, 1.389906, 450.9406]",1,0
322,"[-17.1349, 1.387913, 455.0189]",1,0
323,"[-23.74145, 1.389379, 458.1961]",1,0.99
324,"[-31.23493, 1.387125, 459.9782]",1,0
325,"[-39.11054, 1.387932, 459.9483]",1,0
326,"[-46.79758, 1.387658, 457.8626]",1,0
327,"[-53.72215, 1.387738, 453.7166]",1,0
328,"[-59.51966, 1.387641, 447.715]",1,0
329,"[-64.25394, 1.387638, 440.2037]",0,0
330,"[-68.04287, 1.38765, 431.4722]",0,0
331,"[-70.93437, 1.387641, 421.7585]",0,0
332,"[-73.05751, 1.387641, 411.2457]",0,0
333,"[-74.56052, 1.387641, 400.0801]",0,0
334,"[-75.56834, 1.387641, 388.3805]",0,0
335,"[-76.18011, 1.387641, 376.2443]",0,0
336,"[-76.47383, 1.387642, 363.7512]",0,0
337,"[-76.51183, 1.390242, 350.2369]",0,0
338,"[-76.31522, 1.407649, 333.9229]",0,0
339,"[-75.7506, 4.539419, 316.3996]",0,0
340,"[-74.01029, 21.36646, 308.8117]",0,0
341,"[-69.74784, 35.92853, 320.9177]",0,0
342,"[-60.22036, 33.39779, 335.8953]",0,0
343,"[-49.55388, 17.92449, 342.8481]",0,0
344,"[-39.49604, 2.225787, 330.2277]",0,0
345,"[-31.32028, 2.355078, 308.8463]",0,0
346,"[-25.36193, 3.037112, 290.8879]",0,0
347,"[-22.09859, 2.398597, 277.0182]",0,0.98
348,"[-19.28779, 1.535415, 265.5384]",0,0
349,"[-17.37889, 1.423759, 256.2376]",0,0
350,"[-16.78855, 1.315369, 249.003]",0,0
351,"[-17.57452, 1.334654, 243.5904]",0,0
352,"[-18.99139, 1.348908, 239.379]",0,0
353,"[-20.98739, 1.383111, 235.9713]",0,0
354,"[-23.51902, 1.366619, 232.8578]",0,0
355,"[-26.60238, 1.366297, 229.5677]",0,0
356,"[-29.9893, 1.389596, 226.1123]",0,0
357,"[-33.38415, 1.396776, 222.6558]",0,0
358,"[-36.60117, 1.384423, 218.5537]",0,0
359,"[-39.29925, 1.384018, 213.1363]",1,0
360,"[-41.02232, 1.383342, 206.1603]",1,0
361,"[-41.78414, 1.383369, 197.9451]",1,0
362,"[-42.00804, 1.384611, 188.8712]",1,0
363,"[-42.42112, 1.383548, 179.4326]",1,0
364,"[-43.69732, 1.401799, 169.4338]",1,0
365,"[-45.74464, 1.403064, 159.4076]",1,0
366,"[-48.48946, 1.395932, 149.0884]",1,0
367,"[-51.22149, 1.381919, 138.7608]",1,0
368,"[-53.42535, 1.383816, 127.8682]",1,0
369,"[-55.12128, 1.384516, 116.6015]",1,0
370,"[-56.91237, 1.383446, 105.3968]",1,0
371,"[-59.51652, 1.383541, 93.99815]",1,0
372,"[-62.78719, 1.384198, 82.57758]",1,0
373,"[-65.95641, 1.383311, 71.2667]",1,0
374,"[-68.47244, 1.383551, 59.51303]",1,0
375,"[-70.17072, 1.386534, 47.34776]",1,0
376,"[-71.33279, 1.389639, 35.00388]",1,0
377,"[-72.57838, 1.38717, 22.74119]",1,0
378,"[-74.05752, 1.388417, 10.46247]",1,0
379,"[-75.17098, 1.387526, -1.598242]",1,0.9916666666666667
380,"[-75.31892, 1.387715, -13.85058]",1,0
381,"[-74.66497, 1.388813, -26.07336]",1,0
382,"[-73.95177, 1.38853, -37.97742]",1,0
383,"[-73.93016, 1.388765, -49.53322]",1,0
384,"[-75.22289, 1.387611, -60.51576]",1,0
385,"[-78.36511, 1.387748, -70.91022]",1,0
386,"[-83.20428, 1.387645, -80.65453]",1,0
387,"[-89.43042, 1.387634, -89.86176]",1,0
388,"[-96.76754, 1.387624, -98.66644]",1,0
389,"[-104.7517, 1.388508, -107.1959]",1,0
390,"[-112.7214, 1.387352, -115.7587]",1,0
391,"[-120.622, 1.437995, -124.5202]",1,0
392,"[-127.8235, 1.40463, -132.3154]",1,0
393,"[-134.2107, 1.363576, -139.0809]",1,0
394,"[-139.4432, 1.367995, -144.5681]",1,0
395,"[-143.341, 1.368357, -149.2121]",1,0
396,"[-146.2109, 1.397805, -154.0859]",1,0.9883333333333333
397,"[-147.9944, 1.448947, -158.9459]",1,0
398,"[-148.2121, 1.396507, -163.8338]",1,0
399,"[-146.682, 1.385986, -169.0987]",1,0
400,"[-143.1298, 1.387007, -174.5407]",1,0
401,"[-137.9648, 1.387741, -180.2565]",1,0
402,"[-131.6751, 1.387694, -186.4764]",1,0
403,"[-124.5446, 1.387637, -193.207]",1,0
404,"[-116.7407, 1.387636, -200.3707]",1,0
405,"[-108.386, 1.387641, -207.8879]",1,0
406,"[-99.59736, 1.42456, -215.6401]",1,0
407,"[-91.08567, 1.378154, -223.179]",1,0
408,"[-82.80905, 1.38136, -230.4643]",1,0
409,"[-74.90378, 1.387719, -237.3595]",1,0
410,"[-66.60126, 1.386307, -243.7796]",1,0
411,"[-57.60994, 1.388973, -249.7963]",1,0
412,"[-48.99434, 1.362933, -255.4474]",1,0
413,"[-41.29286, 1.374569, -260.4427]",1,0
414,"[-34.13565, 1.368492, -264.7643]",1,0
415,"[-27.10195, 1.368515, -268.107]",1,0
416,"[-20.22015, 1.367859, -270.1449]",1,0.995
417,"[-13.69186, 1.367766, -270.744]",1,0
418,"[-7.57943, 1.43261, -270.1517]",1,0
419,"[-1.916019, 1.482149, -269.2925]",1,0
420,"[3.530976, 1.405542, -268.7812]",1,0
421,"[9.596209, 1.380974, -268.9631]",1,0
422,"[16.59032, 1.390242, -269.7489]",1,0
423,"[24.33095, 1.387771, -270.387]",1,0
424,"[32.13036, 1.362266, -270.2779]",1,0
425,"[38.84107, 1.377514, -269.3413]",1,0
426,"[42.21189, 1.594629, -267.4436]",1,0
427,"[42.66117, 2.09055, -265.3602]",1,0
428,"[42.87148, 1.424859, -263.6798]",1,0
429,"[43.13503, 1.646857, -262.036]",1,0
430,"[43.25416, 1.352067, -260.381]",1,0
431,"[43.39834, 1.335332, -258.6485]",1,0
432,"[43.43448, 1.361599, -256.7261]",1,0
433,"[43.4311, 1.37052, -254.3973]",1,0
434,"[43.35708, 1.370992, -251.3732]",1,0
435,"[43.07728, 1.367812, -247.6418]",1,0
436,"[42.7132, 1.367627, -243.3095]",1,0
437,"[42.45081, 1.367866, -238.4775]",1,0
438,"[42.43372, 1.367897, -233.2514]",1,0
439,"[42.96466, 1.367885, -227.8041]",1,0
440,"[44.36271, 1.425269, -222.4557]",1,0
441,"[46.2927, 1.450804, -217.7998]",1,0
442,"[49.1622, 1.408934, -213.9093]",1,0
443,"[53.04897, 1.371406, -210.6419]",1,0
444,"[58.04145, 1.392979, -207.4994]",1,0
445,"[63.96542, 1.387772, -203.7052]",1,0
446,"[70.39819, 1.387152, -198.672]",1,0
447,"[77.1064, 1.387596, -192.4175]",1,0
448,"[83.80725, 1.388562, -185.2447]",1,0
449,"[89.83743, 1.401115, -177.523]",1,0
450,"[94.601, 1.409428, -169.4663]",1,0
451,"[97.43082, 1.405097, -161.4833]",1,0
452,"[98.04556, 1.399562, -153.7757]",1,0
453,"[96.43085, 1.401938, -146.3278]",1,0.9683333333333334
454,"[93.46081, 1.412665, -139.2005]",1,0
455,"[89.53608, 1.415306, -132.1563]",1,0
456,"[84.8595, 1.39467, -125.0689]",1,0
457,"[79.46207, 1.387343, -117.9557]",1,0
458,"[73.12696, 1.386956, -111.2767]",1,0
459,"[65.45582, 1.387755, -105.3019]",1,0
460,"[56.84021, 1.38872, -99.93776]",1,0
461,"[48.04323, 1.388561, -94.73492]",1,0
462,"[39.54933, 1.388748, -89.08607]",1,0
463,"[31.92499, 1.387594, -82.57052]",1,0
464,"[25.51191, 1.387744, -74.73256]",1,0
465,"[20.33529, 1.387647, -65.73781]",1,0.9983333333333333
466,"[16.18613, 1.428455, -55.99148]",1,0
467,"[12.85954, 1.71456, -45.9146]",1,0
468,"[10.18867, 2.336785, -35.74689]",1,0
469,"[8.071253, 3.318588, -25.40532]",1,0
470,"[7.598167, 4.424227, -16.04345]",1,0
471,"[7.896301, 5.71948, -7.331273]",1,0
472,"[8.239468, 7.286839, 1.718439]",1,0
473,"[8.50789, 8.760782, 11.0254]",1,0
474,"[8.715602, 9.905923, 20.12052]",1,0
475,"[8.886004, 10.77453, 29.2765]",1,0
476,"[9.042101, 11.39559, 38.07029]",1,0
477,"[9.168174, 11.7293, 46.63048]",1,0
478,"[9.284988, 11.88594, 55.19956]",1,0
479,"[9.392384, 11.89266, 63.54322]",1,0
480,"[9.485164, 11.89092, 72.25602]",1,0
481,"[9.568917, 11.88715, 81.89983]",1,0
482,"[9.641146, 11.88737, 92.36427]",1,0
483,"[9.698485, 11.88766, 103.4994]",1,0
484,"[9.737957, 11.88766, 115.1824]",1,0
485,"[9.75714, 11.88764, 127.3132]",1,0
486,"[9.754078, 11.88764, 139.8097]",1,0
487,"[9.727199, 11.88764, 152.605]",1,0
488,"[9.675238, 11.88764, 165.6445]",1,0
489,"[9.597306, 11.86214, 178.8938]",1,0
490,"[9.498744, 11.47568, 191.9338]",1,0
491,"[9.385738, 10.60765, 204.409]",1,0
492,"[9.256316, 9.270811, 216.5468]",1,0
493,"[9.108827, 7.47068, 228.5219]",1,0
494,"[8.940186, 5.421582, 240.5251]",1,0
495,"[8.76392, 3.725436, 252.9029]",1,0
496,"[8.694245, 2.49485, 265.3943]",1,0
497,"[8.999932, 1.741038, 277.6158]",1,0
498,"[9.865212, 1.408513, 289.6722]",1,0
499,"[11.38624, 1.387584, 301.7682]",1,0.9916666666666667
500,"[13.62009, 1.387021, 313.9782]",1,0
501,"[16.31124, 1.388595, 326.1322]",1,0
502,"[18.74002, 1.387514, 338.0784]",1,0
503,"[20.32424, 1.387748, 350.3211]",1,0
504,"[20.93037, 1.387653, 362.8179]",1,0
505,"[20.70219, 1.387634, 375.5127]",1,0
506,"[19.80437, 1.38764, 388.372]",1,0
507,"[18.36782, 1.387635, 401.3679]",1,0
508,"[16.40062, 1.388537, 414.2461]",1,0
509,"[13.69983, 1.388341, 426.3764]",1,0
510,"[9.90586, 1.388508, 437.3799]",1,0
511,"[4.781877, 1.387436, 446.8359]",1,0
512,"[-1.948036, 1.387758, 454.5346]",1,0
513,"[-8.585954, 1.388243, 460.4449]",1,0
514,"[-13.73645, 1.38811, 464.6263]",1,0
515,"[-17.37711, 1.388099, 467.3085]",1,0.96
516,"[-20.38379, 1.387639, 467.9174]",1,0
517,"[-23.81603, 1.387644, 465.9651]",1,0
518,"[-26.38806, 1.388747, 464.0534]",1,0
519,"[-26.42742, 1.387978, 463.7758]",1,0
520,"[-25.25022, 1.388327, 464.0757]",1,0
521,"[-23.39964, 1.388297, 464.8357]",1,0
522,"[-21.22462, 1.388281, 466.2465]",1,0
523,"[-19.11952, 1.388286, 468.3941]",1,0
