model,signal,prediction,task,weight,n_runs,score_mean,score_ci,behavior_mean,behavior_ci,arousal_mean,arousal_ci,arousal_return_mean,arousal_return_ci,final_position_mean,final_position_ci,off_road_mean,off_road_ci,speed_mean,speed_ci,distance_to_cars_mean,distance_to_cars_ci,gas_pedal_mean,gas_pedal_ci,steering_mean,steering_ci,scores_raw,arousal_raw,frequency,cluster,game,lap_time_mean,lap_time_ci
PPO,Ordinal,Classification,Imitate,0.0,10,13.399999618530272,5.502,0.5697,0.2266,0.25,0.069,0.4,0.1056,3.0999999046325684,1.0367,0.655,0.0993,31.0789,9.1649,24.2295,4.8554,[0.0625 0.34   0.6225],[0.0958 0.1562 0.1799],[0.1625 0.8275 0.035 ],[0.1202 0.1075 0.035 ],"[13.0, 6.0, 22.0, 6.0, 6.0, 11.0, 25.0, 6.0, 16.0, 23.0]","[0.2727272727272727, 0.18181818181818182, 0.36363636363636365, 0.13636363636363635, 0.13636363636363635, 0.18181818181818182, 0.36363636363636365, 0.18181818181818182, 0.3181818181818182, 0.36363636363636365]",Synchronized,1,Solid,,
PPO,Ordinal,Classification,Imitate,0.0,10,15.399999618530272,5.3127,0.678,0.225,0.165,0.094,0.6025,0.1323,2.799999952316284,1.1082,0.6125,0.1071,32.5338,10.9775,32.3036,8.894,[0.0275 0.305  0.6925],[0.0562 0.0646 0.0701],[0.045 0.915 0.065],[0.0589 0.0995 0.0856],"[18.0, 22.0, 14.0, 12.0, 12.0, 22.0, 22.0, 4.0, 24.0, 4.0]","[0.15, 0.25, 0.05, 0.05, 0.15, 0.25, 0.45, 0.1, 0.2, 0.0]",Synchronized,2,Solid,,
PPO,Ordinal,Classification,Imitate,0.0,10,8.300000190734863,2.8022,0.6513,0.1615,0.3455,0.1257,0.595,0.1715,4.0,0.0,0.6825,0.1906,19.4232,6.6728,25.2614,10.3681,[0.055 0.205 0.765],[0.1183 0.1338 0.1968],[0.2025 0.75   0.0725],[0.1379 0.1626 0.1101],"[12.0, 6.0, 14.0, 3.0, 12.0, 10.0, 5.0, 11.0, 4.0, 6.0]","[0.45454545454545453, 0.09090909090909091, 0.5454545454545454, 0.09090909090909091, 0.5454545454545454, 0.36363636363636365, 0.2727272727272727, 0.45454545454545453, 0.18181818181818182, 0.45454545454545453]",Synchronized,3,Solid,,
PPO,Ordinal,Classification,Imitate,0.0,10,14.100000381469728,5.2724,0.7072,0.2086,0.3412,0.0737,0.1775,0.0285,3.0,1.0117,0.6125,0.1033,31.2314,9.7186,33.2989,11.0353,[0.035 0.305 0.685],[0.0585 0.096  0.1214],[0.075 0.88  0.07 ],[0.083  0.1452 0.1289],"[4.0, 11.0, 15.0, 21.0, 24.0, 5.0, 14.0, 20.0, 21.0, 6.0]","[0.23529411764705882, 0.35294117647058826, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.17647058823529413, 0.35294117647058826, 0.4117647058823529, 0.5294117647058824, 0.23529411764705882]",Synchronized,4,Solid,,
PPO,Ordinal,Classification,Imitate,0.5,10,7.699999809265137,3.7861,0.324,0.1501,0.1909,0.0942,0.2475,0.0516,4.0,0.0,0.6425,0.2043,17.8438,7.807,19.6632,8.0053,[0.1425 0.355  0.5275],[0.1878 0.1922 0.2464],[0.095  0.7975 0.1325],[0.1547 0.1819 0.1279],"[0.0, 12.0, 4.0, 19.0, 6.0, 6.0, 6.0, 6.0, 6.0, 12.0]","[0.0, 0.22727272727272727, 0.13636363636363635, 0.5, 0.18181818181818182, 0.2727272727272727, 0.13636363636363635, 0.18181818181818182, 0.18181818181818182, 0.09090909090909091]",Synchronized,1,Solid,,
PPO,Ordinal,Classification,Imitate,0.5,10,10.699999809265137,3.2704,0.4754,0.1457,0.115,0.1228,0.72,0.1395,4.0,0.0,0.5275,0.2147,25.5356,7.1096,30.4224,13.952,[0.1075 0.4    0.5175],[0.2307 0.2016 0.2179],[0.0775 0.7675 0.18  ],[0.0999 0.1742 0.1709],"[13.0, 6.0, 18.0, 6.0, 16.0, 6.0, 12.0, 14.0, 6.0, 10.0]","[0.1, 0.0, 0.55, 0.0, 0.15, 0.0, 0.15, 0.2, 0.0, 0.0]",Synchronized,2,Solid,,
PPO,Ordinal,Classification,Imitate,0.5,10,5.599999904632568,2.1381,0.462,0.1661,0.2182,0.1271,0.3875,0.1288,4.0,0.0,0.5125,0.2297,14.7809,5.8917,21.5275,5.9066,[0.2275 0.3025 0.495 ],[0.2651 0.1471 0.2509],[0.0725 0.5975 0.355 ],[0.1048 0.2186 0.2285],"[6.0, 4.0, 11.0, 0.0, 6.0, 4.0, 6.0, 4.0, 9.0, 6.0]","[0.18181818181818182, 0.09090909090909091, 0.5454545454545454, 0.0, 0.36363636363636365, 0.09090909090909091, 0.2727272727272727, 0.0, 0.36363636363636365, 0.2727272727272727]",Synchronized,3,Solid,,
PPO,Ordinal,Classification,Imitate,0.5,10,10.0,4.3579,0.5165,0.1959,0.2882,0.0897,0.235,0.067,3.700000047683716,0.6786,0.6675,0.1306,22.3822,9.3329,26.5829,10.5641,[0.025  0.2375 0.7625],[0.0566 0.1147 0.1399],[0.12   0.7475 0.1575],[0.1658 0.1827 0.1492],"[6.0, 22.0, 6.0, 11.0, 14.0, 4.0, 16.0, 3.0, 6.0, 12.0]","[0.11764705882352941, 0.47058823529411764, 0.29411764705882354, 0.35294117647058826, 0.35294117647058826, 0.17647058823529413, 0.47058823529411764, 0.17647058823529413, 0.29411764705882354, 0.17647058823529413]",Synchronized,4,Solid,,
PPO,Ordinal,Classification,Imitate,1.0,10,5.699999809265137,1.351,0.2404,0.0408,0.2227,0.0583,0.2875,0.1478,4.0,0.0,0.7025,0.1974,15.3005,3.8024,14.3542,2.6007,[0.23   0.3325 0.4625],[0.2463 0.1534 0.2562],[0.125  0.7175 0.1825],[0.1336 0.1557 0.1433],"[6.0, 4.0, 6.0, 10.0, 6.0, 3.0, 4.0, 6.0, 6.0, 6.0]","[0.22727272727272727, 0.18181818181818182, 0.22727272727272727, 0.4090909090909091, 0.22727272727272727, 0.09090909090909091, 0.18181818181818182, 0.2727272727272727, 0.18181818181818182, 0.22727272727272727]",Synchronized,1,Solid,,
PPO,Ordinal,Classification,Imitate,1.0,10,2.4000000953674316,1.9721,0.1078,0.089,0.05,0.0584,0.365,0.1999,4.0,0.0,0.935,0.1383,9.1187,4.0013,21.4009,7.6492,[0.2025 0.3925 0.43  ],[0.2544 0.2226 0.2656],[0.29   0.4725 0.2625],[0.2969 0.2308 0.2041],"[0.0, 6.0, 0.0, 0.0, 6.0, 6.0, 3.0, 0.0, 0.0, 3.0]","[0.0, 0.05, 0.0, 0.0, 0.2, 0.2, 0.0, 0.0, 0.0, 0.05]",Synchronized,2,Solid,,
PPO,Ordinal,Classification,Imitate,1.0,10,0.4000000059604645,0.5002,0.0322,0.0411,0.0182,0.0274,0.5875,0.2365,4.0,0.0,0.68,0.315,4.3257,1.5602,21.4444,7.9239,[0.2275 0.46   0.3375],[0.2696 0.3133 0.3263],[0.11  0.64  0.275],[0.2069 0.2977 0.2788],"[0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.0, 0.09090909090909091, 0.0, 0.0]",Synchronized,3,Solid,,
PPO,Ordinal,Classification,Imitate,1.0,9,6.3333001136779785,2.6349,0.3254,0.1318,0.268,0.1014,0.2417,0.103,4.0,0.0,0.8611,0.1044,18.6948,7.0436,22.7457,9.7572,[0.11388889 0.28333333 0.62777778],[0.1743 0.0966 0.2401],[0.14722222 0.78611111 0.09166667],[0.1439 0.1788 0.167 ],"[12.0, 6.0, 1.0, 6.0, 2.0, 6.0, 6.0, 9.0, 9.0]","[0.47058823529411764, 0.23529411764705882, 0.058823529411764705, 0.23529411764705882, 0.11764705882352941, 0.23529411764705882, 0.29411764705882354, 0.4117647058823529, 0.35294117647058826]",Synchronized,4,Solid,,
Explore,Ordinal,Classification,Imitate,0.0,7,19.857099533081055,2.0282,0.7692,0.1325,0.474,0.0587,0.2474,0.06,3.4286000728607178,0.9026,0.479,0.0384,24.2786,1.6099,20.9427,6.3495,[ 0.         15.21502822  0.03296703],[0.     0.1063 0.0404],[ 0.         15.24799525  0.        ],[0.     0.1166 0.    ],"[22.0, 21.0, 20.0, 16.0, 18.0, 22.0, 20.0]","[0.45454545454545453, 0.5, 0.5454545454545454, 0.36363636363636365, 0.5454545454545454, 0.45454545454545453, 0.45454545454545453]",Synchronized,1,Solid,53.0179,7.7856
Explore,Ordinal,Classification,Imitate,0.0,6,19.83329963684082,0.4284,0.8601,0.0577,0.575,0.0982,0.7089,0.0568,3.163300037384033,1.3704,0.4502,0.0434,25.4864,1.946,22.4306,7.7002,[ 0.         15.14143141  0.05382305],[0.     0.158  0.1256],[ 0.         15.19525446  0.        ],[0.     0.1655 0.    ],"[19.0, 20.0, 20.0, 20.0, 20.0, 20.0]","[0.55, 0.75, 0.55, 0.5, 0.5, 0.6]",Synchronized,2,Solid,55.7917,5.7913
Explore,Ordinal,Classification,Imitate,0.0,6,11.0,0.0,0.9797,0.0077,0.5152,0.0779,0.6073,0.0776,4.0,0.0,0.5646,0.0445,21.1596,1.2736,23.5183,3.4937,[ 0.         15.1039725   0.08823529],[0.     0.1758 0.1448],[ 0.         15.19220779  0.        ],[0.     0.1387 0.    ],"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0]","[0.45454545454545453, 0.45454545454545453, 0.5454545454545454, 0.6363636363636364, 0.45454545454545453, 0.5454545454545454]",Synchronized,3,Solid,77.4583,18.0433
Explore,Ordinal,Classification,Imitate,0.0,6,17.0,0.0,0.9211,0.0479,0.4216,0.0465,0.2057,0.0621,3.1666998863220215,0.79,0.4792,0.0525,23.4675,0.7513,22.6601,5.2208,[0.00000000e+00 1.51086078e+01 4.90196078e-03],[0.     0.0992 0.0126],[ 0.         15.11350973  0.        ],[0.     0.1025 0.    ],"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0]","[0.47058823529411764, 0.4117647058823529, 0.4117647058823529, 0.47058823529411764, 0.4117647058823529, 0.35294117647058826]",Synchronized,4,Solid,55.9375,11.4707
Explore,Ordinal,Classification,Imitate,0.5,7,20.428600311279297,0.9026,0.8205,0.0627,0.7987,0.0331,0.2917,0.0608,3.44950008392334,1.0148,0.464,0.037,24.6185,0.8734,27.996,6.6244,[ 0.         15.18074031  0.07692308],[0.     0.112  0.1209],[ 0.         15.25766339  0.        ],[0.     0.0684 0.    ],"[20.0, 19.0, 21.0, 20.0, 22.0, 21.0, 20.0]","[0.8181818181818182, 0.7727272727272727, 0.8636363636363636, 0.7727272727272727, 0.7727272727272727, 0.8181818181818182, 0.7727272727272727]",Synchronized,1,Solid,51.2143,8.081
Explore,Ordinal,Classification,Imitate,0.5,7,20.0,0.0,0.8759,0.0203,0.85,0.0534,0.6999,0.0421,3.857100009918213,0.3496,0.4731,0.0428,24.9008,0.9903,16.6822,3.2138,[ 0.         15.04595689  0.04511278],[0.     0.153  0.0908],[ 0.         15.09106967  0.        ],[0.     0.0925 0.    ],"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]","[0.9, 0.9, 0.85, 0.9, 0.8, 0.75, 0.85]",Synchronized,2,Solid,54.8571,5.7398
Explore,Ordinal,Classification,Imitate,0.5,6,11.0,0.0,0.9683,0.0094,0.7727,0.0523,0.5776,0.0946,3.5,1.2853,0.5621,0.0686,21.1858,1.6773,18.2961,7.3754,[ 0.         15.1229075   0.07331378],[0.     0.169  0.1218],[ 0.         15.19622129  0.        ],[0.     0.0989 0.    ],"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0]","[0.8181818181818182, 0.8181818181818182, 0.7272727272727273, 0.8181818181818182, 0.7272727272727273, 0.7272727272727273]",Synchronized,3,Solid,74.875,14.4395
Explore,Ordinal,Classification,Imitate,0.5,6,17.0,0.0,0.9076,0.0302,0.8235,0.0552,0.2186,0.0464,3.8333001136779785,0.4284,0.4975,0.0538,24.5094,2.3464,20.7666,6.8479,[0.00000000e+00 1.52770554e+01 4.27350427e-03],[0.     0.0942 0.011 ],[ 0.         15.28132886  0.        ],[0.     0.0855 0.    ],"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0]","[0.7647058823529411, 0.8235294117647058, 0.7647058823529411, 0.8823529411764706, 0.8823529411764706, 0.8235294117647058]",Synchronized,4,Solid,53.5833,6.6892
Explore,Ordinal,Classification,Imitate,1.0,7,19.571399688720703,1.3982,0.7777,0.0859,0.8571,0.0511,0.263,0.0523,3.8770999908447266,0.3006,0.4861,0.0275,24.134,1.0705,22.6023,7.1854,[ 0.         15.14478504  0.04125699],[0.     0.1199 0.0909],[ 0.         15.18604203  0.        ],[0.     0.1275 0.    ],"[20.0, 17.0, 21.0, 20.0, 20.0, 18.0, 21.0]","[0.9090909090909091, 0.7727272727272727, 0.9090909090909091, 0.8636363636363636, 0.8181818181818182, 0.8181818181818182, 0.9090909090909091]",Synchronized,1,Solid,57.0,9.7038
Explore,Ordinal,Classification,Imitate,1.0,7,20.0,0.0,0.8764,0.0304,0.9857,0.0226,0.6967,0.036,3.4286000728607178,1.0487,0.4917,0.0287,24.381,1.0141,18.4182,4.797,[ 0.         15.12017156  0.16951195],[0.     0.1614 0.1853],[ 0.         15.28968351  0.        ],[0.    0.087 0.   ],"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 0.95]",Synchronized,2,Solid,46.8393,12.9921
Explore,Ordinal,Classification,Imitate,1.0,6,11.0,0.0,0.8662,0.0314,0.9545,0.0523,0.6234,0.1297,3.8333001136779785,0.4284,0.5058,0.0391,23.813,2.0983,27.4787,5.8007,[ 0.         15.22162042  0.        ],[0.     0.2478 0.    ],[ 0.         15.22162042  0.        ],[0.     0.2478 0.    ],"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0]","[1.0, 0.9090909090909091, 0.9090909090909091, 1.0, 1.0, 0.9090909090909091]",Synchronized,3,Solid,68.7917,13.2219
Explore,Ordinal,Classification,Imitate,1.0,6,17.0,0.0,0.9095,0.0213,0.9902,0.0252,0.2748,0.0536,3.3333001136779785,0.5419,0.4634,0.0815,25.4,2.7848,17.4693,4.4056,[ 0.         15.06442852  0.0535014 ],[0.     0.0935 0.1001],[ 0.         15.11792992  0.        ],[0.     0.1584 0.    ],"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0]","[1.0, 1.0, 1.0, 1.0, 0.9411764705882353, 1.0]",Synchronized,4,Solid,51.4167,8.1427
