model,signal,prediction,task,weight,score_mean,score_ci,arousal_mean,arousal_ci,scores_raw,arousal_raw,frequency,cluster,game
DQN,Ordinal,Classification,Minimize,0,15,12.3544,0.5028,0.415,"[6.0, 6.0, 24.0, 12.0, 27.0]","[0.6666666666666666, 1.0, 0.20833333333333334, 0.4166666666666667, 0.2222222222222222]",Synchronized,0,
DQN,Ordinal,Classification,Maximize,0,15.2,11.8252,0.4596,0.4486,"[6.0, 6.0, 25.0, 14.0, 25.0]","[0.16666666666666666, 0.0, 0.84, 0.5714285714285714, 0.72]",Synchronized,0,
DQN,Ordinal,Regression,Minimize,0,17.4,12.9515,0.2513,0.0348,"[6.0, 6.0, 24.0, 26.0, 25.0]","[0.23984706676802423, 0.3002859191970762, 0.2321363707322679, 0.2483038743451222, 0.23616941263075503]",Synchronized,0,
DQN,Ordinal,Regression,Maximize,0,16.4,12.2479,0.2741,0.05,"[6.0, 6.0, 25.0, 19.0, 26.0]","[0.27019641144026624, 0.21204598681563858, 0.31171823250167074, 0.2680692529185996, 0.3084623403550707]",Synchronized,0,
DQN,Raw,Classification,Minimize,0,18,13.6017,0.5308,0.5322,"[6.0, 6.0, 26.0, 26.0, 26.0]","[1.0, 1.0, 0.23076923076923078, 0.23076923076923078, 0.19230769230769232]",Synchronized,0,
DQN,Raw,Classification,Maximize,0,18,13.7146,0.452,0.5167,"[6.0, 6.0, 26.0, 24.0, 28.0]","[0.0, 0.0, 0.8076923076923077, 0.6666666666666666, 0.7857142857142857]",Synchronized,0,
DQN,Raw,Regression,Minimize,0,18,13.6017,0.2726,0.0932,"[6.0, 6.0, 26.0, 26.0, 26.0]","[0.32262511828493157, 0.3796632681081002, 0.20652471658236418, 0.2330450635202802, 0.22107421591153573]",Synchronized,0,
DQN,Raw,Regression,Maximize,0,16.4,12.2479,0.2255,0.075,"[6.0, 6.0, 25.0, 19.0, 26.0]","[0.1882119493501899, 0.152133337290861, 0.29946590386620825, 0.21511686257845095, 0.2727379303380576]",Synchronized,0,
Explore,Ordinal,Classification,Minimize,0.5,16.8,1.0389,0.3211,0.028,"[17, 18, 16, 16, 17]","[0.29411764705882354, 0.3333333333333333, 0.3125, 0.3125, 0.35294117647058826]",Synchronized,0,
Explore,Ordinal,Classification,Minimize,1,17.2,1.0389,0.7579,0.1062,"[18, 16, 17, 18, 17]","[0.7777777777777778, 0.8125, 0.7647058823529411, 0.6111111111111112, 0.8235294117647058]",Synchronized,0,
Explore,Ordinal,Classification,Maximize,0,18,2.4833,0.9882,0.0327,"[15, 19, 17, 20, 19]","[1.0, 1.0, 0.9411764705882353, 1.0, 1.0]",Synchronized,0,
Explore,Ordinal,Classification,Maximize,0.5,17.8,1.8417,0.9765,0.0653,"[18, 20, 16, 18, 17]","[1.0, 1.0, 1.0, 1.0, 0.8823529411764706]",Synchronized,0,
Explore,Ordinal,Classification,Maximize,1,17.4,1.6659,1,0,"[15, 18, 18, 18, 18]","[1.0, 1.0, 1.0, 1.0, 1.0]",Synchronized,0,
Explore,Ordinal,Classification,Minimize,0.0,18.0,2.4833,0.0118,0.0327,"[15, 19, 17, 20, 19]","[0.0, 0.0, 0.05882352941176472, 0.0, 0.0]",Synchronized,0,solid
