model,signal,prediction,task,weight,n_runs,score_mean,score_ci,arousal_mean,arousal_ci,scores_raw,arousal_raw,frequency,cluster,game
PPO,Ordinal,Classification,Imitate,1,10,0.0706,0.0721,0.0545,0.0548,"[0.0, 0.0, 0.24515151515151515, 0.0, 0.0, 0.23636363636363636, 0.10696969696969698, 0.11757575757575758, 0.0, 0.0]","[0.0, 0.0, 0.09090909090909091, 0.0, 0.0, 0.18181818181818182, 0.18181818181818182, 0.09090909090909091, 0.0, 0.0]",Synchronized,3,solid
PPO,Ordinal,Classification,Imitate,1,9,0.2493,0.0905,0.2092,0.0849,"[0.22470588235294117, 0.3362745098039216, 0.3371568627450981, 0.34019607843137256, 0.3298039215686274, 0.3292156862745098, 0.17147058823529412, 0.0, 0.1746078431372549]","[0.23529411764705882, 0.23529411764705882, 0.29411764705882354, 0.23529411764705882, 0.35294117647058826, 0.29411764705882354, 0.11764705882352941, 0.0, 0.11764705882352941]",Synchronized,4,solid
Explore,Ordinal,Classification,Imitate,0,10,0.7896,0.0453,0.6105,0.0263,"[0.7159649122807017, 0.8251754385964913, 0.8351754385964912, 0.7421929824561403, 0.8147368421052632, 0.872456140350877, 0.8018421052631579, 0.7047368421052629, 0.7203508771929825, 0.8632456140350877]","[0.5789473684210527, 0.6842105263157895, 0.5789473684210527, 0.5789473684210527, 0.631578947368421, 0.631578947368421, 0.631578947368421, 0.631578947368421, 0.5789473684210527, 0.5789473684210527]",Synchronized,1,solid
Explore,Ordinal,Classification,Imitate,0,10,0.7793,0.065,0.8474,0.0651,"[0.928859649122807, 0.8516666666666668, 0.7692105263157895, 0.7195614035087718, 0.6401754385964912, 0.9079824561403508, 0.752719298245614, 0.7066666666666667, 0.7708771929824563, 0.7453508771929824]","[1.0, 0.8947368421052632, 0.9473684210526315, 0.7368421052631579, 0.7368421052631579, 0.8947368421052632, 0.7368421052631579, 0.8421052631578947, 0.8421052631578947, 0.8421052631578947]",Synchronized,2,solid
Explore,Ordinal,Classification,Imitate,0,10,0.5671,0.0041,0.2421,0.0364,"[0.5646491228070175, 0.5713157894736841, 0.5671052631578948, 0.5731578947368421, 0.5686842105263158, 0.5576315789473685, 0.5727192982456141, 0.5570175438596491, 0.5698245614035088, 0.5690350877192982]","[0.21052631578947367, 0.2631578947368421, 0.21052631578947367, 0.2631578947368421, 0.21052631578947367, 0.2631578947368421, 0.3157894736842105, 0.15789473684210525, 0.3157894736842105, 0.21052631578947367]",Synchronized,3,solid
Explore,Ordinal,Classification,Imitate,0,10,0.7824,0.0154,0.4737,0.0251,"[0.7769298245614035, 0.7832456140350876, 0.7367543859649125, 0.7685964912280702, 0.7831578947368424, 0.7935964912280702, 0.81140350877193, 0.8113157894736842, 0.7739473684210527, 0.7853508771929822]","[0.5263157894736842, 0.42105263157894735, 0.47368421052631576, 0.47368421052631576, 0.47368421052631576, 0.5263157894736842, 0.42105263157894735, 0.47368421052631576, 0.47368421052631576, 0.47368421052631576]",Synchronized,4,solid
Explore,Ordinal,Classification,Imitate,0.5,10,0.7279,0.0608,0.6211,0.0463,"[0.8057894736842105, 0.7199122807017545, 0.7312280701754386, 0.6014035087719298, 0.7985087719298246, 0.7880701754385966, 0.5637719298245614, 0.7422807017543859, 0.8114035087719299, 0.7169298245614035]","[0.631578947368421, 0.631578947368421, 0.631578947368421, 0.47368421052631576, 0.6842105263157895, 0.631578947368421, 0.5789473684210527, 0.5789473684210527, 0.6842105263157895, 0.6842105263157895]",Synchronized,1,solid
Explore,Ordinal,Classification,Imitate,0.5,10,0.6995,0.0567,0.8526,0.0556,"[0.7615789473684211, 0.7531578947368421, 0.6980701754385966, 0.7895614035087718, 0.7365789473684212, 0.6833333333333333, 0.7287719298245615, 0.7185087719298245, 0.5902631578947368, 0.5352631578947369]","[0.9473684210526315, 0.7894736842105263, 0.8947368421052632, 0.9473684210526315, 0.8947368421052632, 0.8421052631578947, 0.8947368421052632, 0.8421052631578947, 0.7368421052631579, 0.7368421052631579]",Synchronized,2,solid
Explore,Ordinal,Classification,Imitate,0.5,10,0.5603,0.0052,0.4526,0.0508,"[0.5626315789473684, 0.5518421052631579, 0.565, 0.5603508771929825, 0.5627192982456141, 0.5537719298245614, 0.5466666666666666, 0.5662280701754385, 0.5707017543859649, 0.5627192982456141]","[0.47368421052631576, 0.47368421052631576, 0.5263157894736842, 0.42105263157894735, 0.5263157894736842, 0.5263157894736842, 0.47368421052631576, 0.3157894736842105, 0.3684210526315789, 0.42105263157894735]",Synchronized,3,solid
Explore,Ordinal,Classification,Imitate,0.5,10,0.7209,0.0993,0.5368,0.0297,"[0.7714035087719298, 0.7863157894736843, 0.7767543859649121, 0.6928070175438596, 0.7731578947368419, 0.3442105263157895, 0.6872807017543859, 0.7735087719298246, 0.8244736842105262, 0.7790350877192982]","[0.5263157894736842, 0.5263157894736842, 0.5263157894736842, 0.5263157894736842, 0.5263157894736842, 0.47368421052631576, 0.5789473684210527, 0.5263157894736842, 0.631578947368421, 0.5263157894736842]",Synchronized,4,solid
Explore,Ordinal,Classification,Imitate,1,10,0.8167,0.0772,0.8474,0.0374,"[0.6159649122807018, 0.8258771929824562, 0.7692982456140353, 0.8493859649122808, 0.9171929824561404, 0.6773684210526316, 0.8762280701754386, 0.8924561403508772, 0.7820175438596492, 0.961578947368421]","[0.7368421052631579, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632]",Synchronized,1,solid
Explore,Ordinal,Classification,Imitate,1,10,0.7577,0.08,0.9,0.0414,"[0.662280701754386, 0.7210526315789474, 0.7248245614035088, 0.632280701754386, 1.0075438596491226, 0.8033333333333332, 0.7807894736842105, 0.8366666666666668, 0.7690350877192984, 0.6394736842105264]","[0.8421052631578947, 0.8421052631578947, 0.8947368421052632, 0.8421052631578947, 0.8947368421052632, 0.9473684210526315, 0.9473684210526315, 1.0, 0.9473684210526315, 0.8421052631578947]",Synchronized,2,solid
Explore,Ordinal,Classification,Imitate,1,10,0.5245,0.0118,0.5316,0.033,"[0.5185964912280702, 0.5385964912280702, 0.5025438596491228, 0.5396491228070175, 0.5035964912280702, 0.5208771929824562, 0.5460526315789473, 0.5342982456140352, 0.5050877192982457, 0.5358771929824562]","[0.5263157894736842, 0.5789473684210527, 0.5789473684210527, 0.47368421052631576, 0.5789473684210527, 0.5789473684210527, 0.47368421052631576, 0.47368421052631576, 0.5263157894736842, 0.5263157894736842]",Synchronized,3,solid
Explore,Ordinal,Classification,Imitate,1,10,0.7836,0.0332,0.7,0.0399,"[0.746842105263158, 0.7852631578947368, 0.756578947368421, 0.7914035087719299, 0.7835964912280701, 0.7803508771929825, 0.7999122807017544, 0.6964912280701756, 0.8242105263157894, 0.8714912280701753]","[0.7368421052631579, 0.6842105263157895, 0.5789473684210527, 0.7368421052631579, 0.7368421052631579, 0.6842105263157895, 0.6842105263157895, 0.6842105263157895, 0.7894736842105263, 0.6842105263157895]",Synchronized,4,solid
